(0, 0, 0) | 0.26917934
(0, 0, 1) | 0.24543114
(0, 0, 2) | 0.2456037
(0, 0, 3) | 0.23978582
(1, 0, 0) | 0.29942966
(1, 0, 1) | 0.21901658
(1, 0, 2) | 0.23445363
(1, 0, 3) | 0.24710017
(2, 0, 0) | 0.24615069
(2, 0, 1) | 0.24744394
(2, 0, 2) | 0.25942397
(2, 0, 3) | 0.24698143
(3, 0, 0) | 0.2693632
(3, 0, 1) | 0.25065896
(3, 0, 2) | 0.23164168
(3, 0, 3) | 0.24833612
(4, 0, 0) | 0.27088383
(4, 0, 1) | 0.22407146
(4, 0, 2) | 0.25321704
(4, 0, 3) | 0.25182766
(5, 0, 0) | 0.2480207
(5, 0, 1) | 0.2454285
(5, 0, 2) | 0.2514859
(5, 0, 3) | 0.25506493
(6, 0, 0) | 0.24171188
(6, 0, 1) | 0.24181418
(6, 0, 2) | 0.26170892
(6, 0, 3) | 0.2547651
(7, 0, 0) | 0.25917366
(7, 0, 1) | 0.24743314
(7, 0, 2) | 0.24145482
(7, 0, 3) | 0.25193834
(8, 0, 0) | 0.24726811
(8, 0, 1) | 0.26985404
(8, 0, 2) | 0.24086548
(8, 0, 3) | 0.24201232
(9, 0, 0) | 0.2898072
(9, 0, 1) | 0.20645477
(9, 0, 2) | 0.25306273
(9, 0, 3) | 0.2506753
(10, 0, 0) | 0.25212622
(10, 0, 1) | 0.2503673
(10, 0, 2) | 0.24933888
(10, 0, 3) | 0.24816762
(11, 0, 0) | 0.23842967
(11, 0, 1) | 0.25555906
(11, 0, 2) | 0.25220782
(11, 0, 3) | 0.25380346
(12, 0, 0) | 0.24115285
(12, 0, 1) | 0.25076827
(12, 0, 2) | 0.25323164
(12, 0, 3) | 0.25484726
(13, 0, 0) | 0.24959505
(13, 0, 1) | 0.25034904
(13, 0, 2) | 0.25275552
(13, 0, 3) | 0.24730037
(14, 0, 0) | 0.24803674
(14, 0, 1) | 0.2501197
(14, 0, 2) | 0.25534207
(14, 0, 3) | 0.24650146
(15, 0, 0) | 0.24574691
(15, 0, 1) | 0.25388667
(15, 0, 2) | 0.24960619
(15, 0, 3) | 0.25076023
(16, 0, 0) | 0.24444814
(16, 0, 1) | 0.25305647
(16, 0, 2) | 0.2523761
(16, 0, 3) | 0.25011927
(17, 0, 0) | 0.24635525
(17, 0, 1) | 0.24785016
(17, 0, 2) | 0.25145686
(17, 0, 3) | 0.25433776
(18, 0, 0) | 0.2529131
(18, 0, 1) | 0.2464199
(18, 0, 2) | 0.24937668
(18, 0, 3) | 0.25129023
(19, 0, 0) | 0.24973494
(19, 0, 1) | 0.24835548
(19, 0, 2) | 0.25102806
(19, 0, 3) | 0.25088146
(20, 0, 0) | 0.24590087
(20, 0, 1) | 0.24929765
(20, 0, 2) | 0.2540151
(20, 0, 3) | 0.2507864
(21, 0, 0) | 0.24224518
(21, 0, 1) | 0.24985294
(21, 0, 2) | 0.2532979
(21, 0, 3) | 0.25460392
(22, 0, 0) | 0.24177866
(22, 0, 1) | 0.2526123
(22, 0, 2) | 0.2503346
(22, 0, 3) | 0.25527447
(23, 0, 0) | 0.24195631
(23, 0, 1) | 0.24997799
(23, 0, 2) | 0.25466236
(23, 0, 3) | 0.2534034
(24, 0, 0) | 0.25121364
(24, 0, 1) | 0.2485289
(24, 0, 2) | 0.25263557
(24, 0, 3) | 0.2476219
(25, 0, 0) | 0.24396275
(25, 0, 1) | 0.24749461
(25, 0, 2) | 0.25308293
(25, 0, 3) | 0.2554597
(26, 0, 0) | 0.24549484
(26, 0, 1) | 0.24876164
(26, 0, 2) | 0.25395432
(26, 0, 3) | 0.25178924
(27, 0, 0) | 0.24870074
(27, 0, 1) | 0.2497036
(27, 0, 2) | 0.25286436
(27, 0, 3) | 0.24873129
(28, 0, 0) | 0.25093925
(28, 0, 1) | 0.24781252
(28, 0, 2) | 0.25307286
(28, 0, 3) | 0.24817534
(29, 0, 0) | 0.2489437
(29, 0, 1) | 0.25133485
(29, 0, 2) | 0.25198686
(29, 0, 3) | 0.24773456
(30, 0, 0) | 0.24482167
(30, 0, 1) | 0.24880314
(30, 0, 2) | 0.25390226
(30, 0, 3) | 0.25247294
(31, 0, 0) | 0.24887936
(31, 0, 1) | 0.24928607
(31, 0, 2) | 0.25172713
(31, 0, 3) | 0.25010744
(32, 0, 0) | 0.24932602
(32, 0, 1) | 0.2471666
(32, 0, 2) | 0.25109705
(32, 0, 3) | 0.25241035
(33, 0, 0) | 0.24763325
(33, 0, 1) | 0.24885902
(33, 0, 2) | 0.2526913
(33, 0, 3) | 0.25081643
(34, 0, 0) | 0.24698506
(34, 0, 1) | 0.24969295
(34, 0, 2) | 0.25150347
(34, 0, 3) | 0.25181857
(35, 0, 0) | 0.25250947
(35, 0, 1) | 0.24857394
(35, 0, 2) | 0.2505124
(35, 0, 3) | 0.2484042
(36, 0, 0) | 0.24831913
(36, 0, 1) | 0.24849686
(36, 0, 2) | 0.2529015
(36, 0, 3) | 0.2502825
(37, 0, 0) | 0.24179858
(37, 0, 1) | 0.25251538
(37, 0, 2) | 0.25104457
(37, 0, 3) | 0.25464153
(38, 0, 0) | 0.24730803
(38, 0, 1) | 0.25097638
(38, 0, 2) | 0.251543
(38, 0, 3) | 0.2501727
(39, 0, 0) | 0.24729961
(39, 0, 1) | 0.2509251
(39, 0, 2) | 0.25102162
(39, 0, 3) | 0.2507537
